match_id,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,home_pass_accuracy,away_pass_accuracy,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_formation,away_formation
497410,47.3,52.7,10,4,6,1,1.14,0.16,84.6,83.8,2,1,0,0,19,18,4-3-3,4-3-3
497411,49.8,50.2,6,6,0,3,0.24,2.1,86.5,87.0,0,1,0,1,14,18,4-3-3,4-4-2
497412,55.9,44.1,7,9,4,3,1.92,0.36,91.7,74.8,3,2,0,0,9,22,4-2-3-1,3-5-2
497413,45.4,54.6,8,13,3,6,0.32,3.38,79.0,89.2,3,2,0,0,20,11,4-4-2,3-5-2
497414,56.8,43.2,10,5,6,2,1.33,0.2,84.1,91.1,2,2,0,0,14,14,4-2-3-1,4-4-2
497415,47.3,52.7,10,11,5,5,1.5,1.26,85.0,84.8,1,1,0,0,19,9,4-2-3-1,4-3-3
497416,46.4,53.6,9,6,3,4,1.28,1.92,83.6,83.4,2,3,0,0,15,22,3-5-2,4-4-2
497417,50.9,49.1,7,8,3,4,2.37,1.31,92.6,92.3,0,3,0,1,20,16,3-5-2,3-5-2
497418,45.0,55.0,7,14,5,7,0.28,2.28,87.3,78.6,3,1,0,0,13,18,4-4-2,4-3-3
497419,50.1,49.9,4,12,2,5,1.19,1.27,75.1,76.1,3,1,0,0,17,10,4-2-3-1,3-5-2
497422,55.3,44.7,13,9,7,4,2.4,1.41,73.1,82.1,1,1,0,0,13,16,4-2-3-1,3-5-2
497423,40.9,59.1,8,6,2,4,0.32,2.1,78.4,84.7,2,2,0,0,14,10,4-4-2,4-4-2
497424,55.9,44.1,13,12,7,6,2.54,1.29,76.4,84.0,0,3,0,1,17,18,4-2-3-1,4-2-3-1
497426,55.8,44.2,9,8,4,3,3.15,1.04,74.9,76.4,1,2,0,0,13,18,4-3-3,4-2-3-1
497427,45.1,54.9,9,9,5,6,0.36,1.18,74.5,91.2,1,1,0,0,12,13,4-3-3,3-5-2
497428,63.2,36.8,13,4,8,0,3.92,0.16,81.9,89.8,2,1,0,0,12,21,4-2-3-1,4-4-2
497421,40.9,59.1,7,14,5,7,0.28,2.36,81.1,88.5,1,2,0,0,17,21,4-2-3-1,3-5-2
497420,54.3,45.7,8,8,3,3,1.03,1.31,91.8,76.4,0,3,0,0,20,12,4-4-2,4-2-3-1
497429,41.9,58.1,8,17,3,11,1.97,5.95,73.1,79.5,3,2,0,0,8,15,4-4-2,4-4-2
497425,52.1,47.9,12,9,5,2,1.99,0.36,86.3,72.2,2,2,0,0,19,13,4-2-3-1,4-3-3
497430,53.6,46.4,9,9,4,5,1.33,1.11,87.6,72.1,0,0,0,0,21,21,3-5-2,4-3-3
497431,55.4,44.6,8,4,6,2,2.8,1.12,84.2,77.4,3,0,0,0,21,9,4-2-3-1,4-3-3
497433,49.2,50.8,9,11,3,5,2.55,2.74,90.6,73.9,3,0,0,0,19,18,4-4-2,4-3-3
497434,53.6,46.4,6,10,1,5,1.18,1.41,74.4,75.1,1,3,0,0,17,17,3-5-2,4-3-3
497435,48.6,51.4,7,14,3,7,1.32,2.61,80.5,78.7,0,1,0,0,10,19,3-5-2,3-5-2
497438,45.2,54.8,7,8,5,6,1.17,1.08,86.6,85.2,2,1,0,0,12,14,3-5-2,4-3-3
497439,47.0,53.0,7,8,4,3,1.28,2.44,80.5,72.8,0,1,0,1,16,8,4-2-3-1,4-4-2
497432,50.5,49.5,9,11,4,4,1.41,1.47,91.1,86.8,0,1,0,0,18,13,3-5-2,4-3-3
497437,48.0,52.0,9,9,4,4,2.44,1.18,85.3,78.3,0,1,0,0,22,22,3-5-2,4-3-3
497436,43.0,57.0,7,7,0,5,0.28,2.45,79.7,85.7,2,2,0,0,21,9,4-4-2,4-3-3
497447,42.8,57.2,6,13,1,7,0.24,3.5,90.0,85.8,2,1,0,0,19,11,3-5-2,4-4-2
497442,49.9,50.1,2,7,0,0,0.08,0.28,90.9,90.5,0,3,1,0,17,21,3-5-2,4-2-3-1
497443,49.0,51.0,14,9,7,7,2.58,2.18,92.9,74.2,0,3,0,0,17,10,4-2-3-1,3-5-2
497444,46.6,53.4,9,10,4,6,1.25,1.22,79.6,73.1,2,2,0,0,18,11,4-3-3,4-2-3-1
497445,47.9,52.1,7,12,5,6,0.28,1.32,75.3,93.0,2,3,0,0,15,22,4-2-3-1,4-4-2
497446,50.2,49.8,9,6,6,4,2.35,1.04,85.0,75.1,2,0,0,0,21,21,3-5-2,4-4-2
497441,48.2,51.8,9,10,4,5,2.96,2.39,92.8,87.9,0,2,0,0,9,10,4-4-2,3-5-2
497440,48.6,51.4,9,12,5,5,0.36,1.22,78.3,79.7,2,0,0,0,14,21,4-2-3-1,4-2-3-1
497448,46.7,53.3,7,12,2,6,0.28,1.26,72.8,80.1,2,0,1,0,21,16,4-2-3-1,4-2-3-1
497449,51.9,48.1,8,8,3,2,1.06,2.37,90.6,91.0,2,1,0,0,18,20,4-4-2,4-2-3-1
497459,47.5,52.5,7,6,2,3,0.28,2.1,75.7,84.4,1,0,0,0,10,18,3-5-2,4-3-3
497450,47.8,52.2,13,5,6,3,3.4,0.9,72.8,80.2,2,2,0,0,10,19,4-2-3-1,4-3-3
497453,56.6,43.4,10,8,4,6,3.0,1.24,76.0,92.7,2,0,0,0,9,17,4-4-2,4-2-3-1
497454,51.3,48.7,11,13,6,6,1.44,1.5,84.9,84.1,1,2,0,0,11,20,4-2-3-1,3-5-2
497455,57.2,42.8,6,11,4,5,2.1,0.44,75.1,83.9,2,1,0,1,22,22,4-4-2,3-5-2
497457,48.2,51.8,7,8,1,2,1.13,1.23,79.4,75.0,2,2,0,0,10,16,4-2-3-1,4-2-3-1
497458,51.4,48.6,14,8,7,6,2.86,1.17,76.2,76.2,2,3,0,0,21,14,4-4-2,4-4-2
497452,49.0,51.0,6,4,2,0,0.24,0.16,73.4,88.8,1,2,0,0,15,14,4-3-3,4-2-3-1
497451,48.6,51.4,11,11,6,4,2.15,2.57,80.3,92.5,2,0,0,0,12,12,4-2-3-1,3-5-2
497456,53.1,46.9,10,13,4,7,2.34,2.03,90.7,72.9,0,1,0,1,10,12,4-2-3-1,4-4-2
497467,49.3,50.7,8,8,4,5,1.29,1.08,82.4,85.2,0,1,0,0,16,9,4-4-2,4-3-3
497461,50.0,50.0,15,9,8,4,3.75,2.49,79.1,84.6,1,0,0,0,21,19,4-3-3,4-4-2
497462,51.2,48.8,11,8,4,2,1.45,1.37,73.8,83.3,1,1,0,0,14,19,4-2-3-1,4-4-2
497463,53.7,46.3,14,8,7,5,3.99,2.15,92.1,90.7,2,2,0,0,19,12,4-2-3-1,4-4-2
497464,53.0,47.0,8,9,3,5,2.26,1.23,90.8,86.8,2,0,0,0,20,14,3-5-2,3-5-2
497468,44.2,55.8,4,12,0,5,0.16,1.34,90.2,88.5,0,0,0,0,17,8,4-3-3,4-4-2
497469,47.4,52.6,4,6,1,3,0.88,2.1,76.0,83.2,1,2,1,0,20,10,4-4-2,4-3-3
497465,50.7,49.3,10,13,4,7,2.11,2.3,78.9,92.2,1,1,1,0,18,22,4-2-3-1,4-2-3-1
497466,42.0,58.0,4,10,1,8,0.16,3.29,74.2,86.5,1,0,0,0,15,8,4-4-2,3-5-2
497460,48.7,51.3,10,8,4,5,2.71,1.12,78.0,81.4,2,1,0,0,18,11,4-2-3-1,4-3-3
497475,43.3,56.7,7,11,2,4,0.28,1.15,76.9,82.2,2,0,0,0,20,9,4-2-3-1,4-2-3-1
497470,60.2,39.8,9,8,3,5,3.08,1.26,76.7,80.3,1,1,0,0,16,21,4-3-3,3-5-2
497472,58.1,41.9,12,12,10,6,4.2,3.36,87.8,76.4,1,0,0,0,18,22,4-2-3-1,4-4-2
497477,56.1,43.9,8,9,4,3,1.27,0.36,78.4,88.2,1,2,0,0,21,9,4-4-2,4-2-3-1
497478,51.3,48.7,5,5,3,2,1.75,1.75,81.1,78.1,2,1,0,0,15,9,4-4-2,4-2-3-1
497479,54.9,45.1,13,12,8,5,3.68,1.39,78.1,85.4,3,1,0,0,22,12,4-2-3-1,4-3-3
497476,54.2,45.8,6,4,0,2,0.24,0.16,80.9,90.8,0,0,0,0,18,12,3-5-2,3-5-2
497471,54.5,45.5,5,6,1,0,0.2,0.24,84.7,73.6,2,1,0,0,19,15,4-2-3-1,4-4-2
497474,51.8,48.2,9,9,3,5,1.31,1.32,87.6,77.1,1,1,0,0,21,16,4-2-3-1,4-4-2
497473,52.6,47.4,10,9,6,3,2.84,2.26,91.4,90.0,1,2,0,0,9,20,4-2-3-1,4-4-2
497488,60.0,40.0,8,8,4,3,2.8,1.23,82.9,88.0,0,1,0,0,11,21,4-2-3-1,4-3-3
497481,45.8,54.2,4,6,2,3,1.22,2.1,91.0,92.8,2,1,0,0,22,19,4-3-3,4-3-3
497482,48.0,52.0,7,5,5,2,0.28,1.66,75.9,90.9,1,1,0,0,10,8,3-5-2,3-5-2
497484,53.3,46.7,5,8,3,4,1.75,1.26,75.6,81.2,1,1,0,0,22,13,4-3-3,3-5-2
497485,43.2,56.8,5,11,2,4,0.2,1.35,82.8,75.7,0,1,0,0,10,13,4-4-2,4-3-3
497487,45.2,54.8,9,7,7,3,2.02,2.45,91.2,73.3,3,0,0,0,15,9,4-4-2,3-5-2
497480,53.4,46.6,10,6,6,0,1.82,0.24,85.1,90.2,2,1,0,0,20,19,3-5-2,4-3-3
497489,48.5,51.5,12,8,5,2,1.41,2.45,78.9,88.8,2,1,0,0,13,11,4-2-3-1,4-4-2
497483,52.7,47.3,7,10,3,5,2.36,1.28,81.1,77.5,2,1,0,0,21,10,4-3-3,3-5-2
497486,48.0,52.0,8,8,5,2,1.38,0.32,76.5,87.4,1,3,0,0,8,8,4-3-3,4-3-3
497497,44.1,55.9,12,11,6,6,1.31,3.61,83.8,75.5,3,2,0,0,12,16,4-4-2,4-2-3-1
497491,45.4,54.6,8,10,1,3,1.35,1.45,91.5,92.9,2,1,0,1,18,15,4-3-3,3-5-2
497492,53.7,46.3,13,9,7,5,4.55,2.65,82.0,79.1,3,1,0,0,22,9,4-4-2,4-2-3-1
497493,46.1,53.9,12,10,5,4,1.94,1.81,91.9,86.9,0,1,0,0,12,11,4-4-2,3-5-2
497498,48.5,51.5,7,10,3,3,1.29,0.4,78.0,87.6,2,2,0,0,11,14,3-5-2,3-5-2
497496,45.7,54.3,6,5,2,1,1.06,1.08,88.5,86.7,3,1,0,0,17,12,4-2-3-1,4-4-2
497494,50.9,49.1,11,9,6,5,2.09,1.24,92.5,91.9,3,1,0,0,15,8,4-2-3-1,3-5-2
497495,52.7,47.3,9,7,3,5,1.08,0.28,79.8,83.9,1,2,0,0,8,16,4-2-3-1,3-5-2
497499,51.2,48.8,6,8,3,2,1.81,1.32,78.2,85.0,0,1,0,0,21,10,3-5-2,4-3-3
497490,54.4,45.6,8,10,4,5,2.43,2.21,75.0,86.3,3,3,0,0,20,8,3-5-2,4-2-3-1
497505,56.4,43.6,4,8,1,2,1.18,0.32,84.0,83.0,1,1,0,0,14,21,4-3-3,4-3-3
497500,47.9,52.1,8,6,4,2,2.36,1.17,74.0,91.3,2,1,0,0,16,19,3-5-2,4-4-2
497502,50.2,49.8,5,10,3,3,1.27,1.48,91.5,83.5,3,1,0,1,14,20,4-3-3,3-5-2
497503,54.1,45.9,10,9,6,3,2.48,1.14,82.9,72.7,1,3,0,0,15,9,4-4-2,3-5-2
497506,55.8,44.2,9,5,6,3,2.7,0.2,90.7,85.9,3,3,0,0,22,16,3-5-2,4-2-3-1
497507,56.1,43.9,11,6,6,2,1.43,0.24,82.3,77.6,2,1,0,1,22,15,4-3-3,3-5-2
497509,48.9,51.1,10,6,5,3,2.5,1.76,79.7,81.1,3,3,0,0,21,18,4-4-2,4-4-2
497508,58.2,41.8,13,5,8,3,3.84,0.91,73.1,78.9,0,2,0,0,15,13,4-4-2,4-2-3-1
497504,51.0,49.0,10,7,4,2,1.14,0.98,72.7,73.1,2,2,1,0,8,12,3-5-2,4-4-2
497501,53.6,46.4,14,8,7,3,2.27,1.25,87.7,86.4,2,1,0,0,9,11,4-2-3-1,4-2-3-1
497510,50.7,49.3,5,11,3,4,1.75,2.3,86.0,81.4,3,3,0,0,16,13,4-4-2,4-3-3
