match_id,team_id,team,player_name,position,shirt_number
497410,66,Manchester United FC,André Onana,GK,1
497410,66,Manchester United FC,Aaron Wan-Bissaka,RB,2
497410,66,Manchester United FC,Raphaël Varane,CB,3
497410,66,Manchester United FC,Harry Maguire,CB,4
497410,66,Manchester United FC,Luke Shaw,LB,5
497410,66,Manchester United FC,Casemiro,CM,6
497410,66,Manchester United FC,Bruno Fernandes,CM,7
497410,66,Manchester United FC,Mason Mount,CM,8
497410,66,Manchester United FC,Marcus Rashford,RW,9
497410,66,Manchester United FC,Rasmus Højlund,ST,10
497410,66,Manchester United FC,Antony,LW,11
497410,63,Fulham FC,Bernd Leno,GK,1
497410,63,Fulham FC,Kenny Tete,RB,2
497410,63,Fulham FC,Issa Diop,CB,3
497410,63,Fulham FC,Tosin Adarabioyo,CB,4
497410,63,Fulham FC,Antonee Robinson,LB,5
497410,63,Fulham FC,Joao Palhinha,CM,6
497410,63,Fulham FC,Tom Cairney,CM,7
497410,63,Fulham FC,Harrison Reed,CM,8
497410,63,Fulham FC,Bobby Decordova-Reid,RW,9
497410,63,Fulham FC,Aleksandar Mitrovic,ST,10
497410,63,Fulham FC,Willian,LW,11
497411,349,Ipswich Town FC,Christian Walton,GK,1
497411,349,Ipswich Town FC,Leif Davis,RB,2
497411,349,Ipswich Town FC,Luke Woolfenden,CB,3
497411,349,Ipswich Town FC,Janoi Donacien,CB,4
497411,349,Ipswich Town FC,Harry Clarke,LB,5
497411,349,Ipswich Town FC,Sam Morsy,CM,6
497411,349,Ipswich Town FC,Wes Burns,CM,7
497411,349,Ipswich Town FC,Conor Chaplin,CM,8
497411,349,Ipswich Town FC,Freddie Ladapo,RW,9
497411,349,Ipswich Town FC,Omari Hutchinson,ST,10
497411,349,Ipswich Town FC,Liam Delap,LW,11
497411,64,Liverpool FC,Alisson,GK,1
497411,64,Liverpool FC,Trent Alexander-Arnold,RB,2
497411,64,Liverpool FC,Virgil van Dijk,CB,3
497411,64,Liverpool FC,Ibrahima Konaté,CB,4
497411,64,Liverpool FC,Andrew Robertson,LB,5
497411,64,Liverpool FC,Alexis Mac Allister,RM,6
497411,64,Liverpool FC,Dominik Szoboszlai,CM,7
497411,64,Liverpool FC,Mohamed Salah,CM,8
497411,64,Liverpool FC,Darwin Núñez,LM,9
497411,64,Liverpool FC,Luis Díaz,ST,10
497411,64,Liverpool FC,Diogo Jota,ST,11
497412,57,Arsenal FC,David Raya,GK,1
497412,57,Arsenal FC,Ben White,RB,2
497412,57,Arsenal FC,William Saliba,CB,3
497412,57,Arsenal FC,Gabriel Magalhães,CB,4
497412,57,Arsenal FC,Oleksandr Zinchenko,LB,5
497412,57,Arsenal FC,Thomas Partey,CDM,6
497412,57,Arsenal FC,Martin Ødegaard,CDM,7
497412,57,Arsenal FC,Bukayo Saka,RM,8
497412,57,Arsenal FC,Leandro Trossard,CAM,9
497412,57,Arsenal FC,Gabriel Martinelli,LM,10
497412,57,Arsenal FC,Kai Havertz,ST,11
497412,76,Wolverhampton Wanderers FC,José Sá,GK,1
497412,76,Wolverhampton Wanderers FC,Matt Doherty,CB,2
497412,76,Wolverhampton Wanderers FC,Max Kilman,CB,3
497412,76,Wolverhampton Wanderers FC,Craig Dawson,CB,4
497412,76,Wolverhampton Wanderers FC,Rayan Aït-Nouri,RM,5
497412,76,Wolverhampton Wanderers FC,Mario Lemina,CM,6
497412,76,Wolverhampton Wanderers FC,Joao Gomes,CM,7
497412,76,Wolverhampton Wanderers FC,Pablo Sarabia,CM,8
497412,76,Wolverhampton Wanderers FC,Pedro Neto,LM,9
497412,76,Wolverhampton Wanderers FC,Matheus Cunha,ST,10
497412,76,Wolverhampton Wanderers FC,Hee-chan Hwang,ST,11
497413,62,Everton FC,Jordan Pickford,GK,1
497413,62,Everton FC,Séamus Coleman,RB,2
497413,62,Everton FC,James Tarkowski,CB,3
497413,62,Everton FC,Michael Keane,CB,4
497413,62,Everton FC,Vitaliy Mykolenko,LB,5
497413,62,Everton FC,Amadou Onana,RM,6
497413,62,Everton FC,Abdoulaye Doucouré,CM,7
497413,62,Everton FC,Jack Harrison,CM,8
497413,62,Everton FC,Dwight McNeil,LM,9
497413,62,Everton FC,Dominic Calvert-Lewin,ST,10
497413,62,Everton FC,Beto,ST,11
497413,397,Brighton & Hove Albion FC,Bart Verbruggen,GK,1
497413,397,Brighton & Hove Albion FC,Joel Veltman,CB,2
497413,397,Brighton & Hove Albion FC,Lewis Dunk,CB,3
497413,397,Brighton & Hove Albion FC,Adam Webster,CB,4
497413,397,Brighton & Hove Albion FC,Pervis Estupiñán,RM,5
497413,397,Brighton & Hove Albion FC,Pascal Groß,CM,6
497413,397,Brighton & Hove Albion FC,Billy Gilmour,CM,7
497413,397,Brighton & Hove Albion FC,Kaoru Mitoma,CM,8
497413,397,Brighton & Hove Albion FC,Evan Ferguson,LM,9
497413,397,Brighton & Hove Albion FC,Solly March,ST,10
497413,397,Brighton & Hove Albion FC,João Pedro,ST,11
497414,67,Newcastle United FC,Nick Pope,GK,1
497414,67,Newcastle United FC,Kieran Trippier,RB,2
497414,67,Newcastle United FC,Fabian Schär,CB,3
497414,67,Newcastle United FC,Sven Botman,CB,4
497414,67,Newcastle United FC,Dan Burn,LB,5
497414,67,Newcastle United FC,Joelinton,CDM,6
497414,67,Newcastle United FC,Bruno Guimarães,CDM,7
497414,67,Newcastle United FC,Sandro Tonali,RM,8
497414,67,Newcastle United FC,Jacob Murphy,CAM,9
497414,67,Newcastle United FC,Alexander Isak,LM,10
497414,67,Newcastle United FC,Callum Wilson,ST,11
497414,340,Southampton FC,Aaron Ramsdale,GK,1
497414,340,Southampton FC,Kyle Walker-Peters,RB,2
497414,340,Southampton FC,Jan Bednarek,CB,3
497414,340,Southampton FC,Mohammed Salisu,CB,4
497414,340,Southampton FC,Romain Perraud,LB,5
497414,340,Southampton FC,Stuart Armstrong,RM,6
497414,340,Southampton FC,Adam Armstrong,CM,7
497414,340,Southampton FC,Che Adams,CM,8
497414,340,Southampton FC,Sékou Mara,LM,9
497414,340,Southampton FC,Tyler Dibling,ST,10
497414,340,Southampton FC,Kamaldeen Sulemana,ST,11
497415,351,Nottingham Forest FC,Matt Turner,GK,1
497415,351,Nottingham Forest FC,Neco Williams,RB,2
497415,351,Nottingham Forest FC,Joe Worrall,CB,3
497415,351,Nottingham Forest FC,Willy Boly,CB,4
497415,351,Nottingham Forest FC,Harry Toffolo,LB,5
497415,351,Nottingham Forest FC,Ryan Yates,CDM,6
497415,351,Nottingham Forest FC,Morgan Gibbs-White,CDM,7
497415,351,Nottingham Forest FC,Anthony Elanga,RM,8
497415,351,Nottingham Forest FC,Taiwo Awoniyi,CAM,9
497415,351,Nottingham Forest FC,Callum Hudson-Odoi,LM,10
497415,351,Nottingham Forest FC,Remo Freuler,ST,11
497415,1044,AFC Bournemouth,Player 1,GK,1
497415,1044,AFC Bournemouth,Player 2,RB,2
497415,1044,AFC Bournemouth,Player 3,CB,3
497415,1044,AFC Bournemouth,Player 4,CB,4
497415,1044,AFC Bournemouth,Player 5,LB,5
497415,1044,AFC Bournemouth,Player 6,CM,6
497415,1044,AFC Bournemouth,Player 7,CM,7
497415,1044,AFC Bournemouth,Player 8,CM,8
497415,1044,AFC Bournemouth,Player 9,RW,9
497415,1044,AFC Bournemouth,Player 10,ST,10
497415,1044,AFC Bournemouth,Player 11,LW,11
497416,563,West Ham United FC,Lukasz Fabianski,GK,1
497416,563,West Ham United FC,Vladimir Coufal,CB,2
497416,563,West Ham United FC,Kurt Zouma,CB,3
497416,563,West Ham United FC,Nayef Aguerd,CB,4
497416,563,West Ham United FC,Emerson Palmieri,RM,5
497416,563,West Ham United FC,Lucas Paquetá,CM,6
497416,563,West Ham United FC,Tomáš Souček,CM,7
497416,563,West Ham United FC,Jarrod Bowen,CM,8
497416,563,West Ham United FC,Michail Antonio,LM,9
497416,563,West Ham United FC,Mohammed Kudus,ST,10
497416,563,West Ham United FC,Edson Álvarez,ST,11
497416,58,Aston Villa FC,Emiliano Martínez,GK,1
497416,58,Aston Villa FC,Matty Cash,RB,2
497416,58,Aston Villa FC,Pau Torres,CB,3
497416,58,Aston Villa FC,Ezri Konsa,CB,4
497416,58,Aston Villa FC,Lucas Digne,LB,5
497416,58,Aston Villa FC,John McGinn,RM,6
497416,58,Aston Villa FC,Douglas Luiz,CM,7
497416,58,Aston Villa FC,Boubacar Kamara,CM,8
497416,58,Aston Villa FC,Léon Bailey,LM,9
497416,58,Aston Villa FC,Ollie Watkins,ST,10
497416,58,Aston Villa FC,Moussa Diaby,ST,11
497417,402,Brentford FC,Mark Flekken,GK,1
497417,402,Brentford FC,Aaron Hickey,CB,2
497417,402,Brentford FC,Ethan Pinnock,CB,3
497417,402,Brentford FC,Ben Mee,CB,4
497417,402,Brentford FC,Rico Henry,RM,5
497417,402,Brentford FC,Mathias Jensen,CM,6
497417,402,Brentford FC,Christian Nørgaard,CM,7
497417,402,Brentford FC,Bryan Mbeumo,CM,8
497417,402,Brentford FC,Yoane Wissa,LM,9
497417,402,Brentford FC,Ivan Toney,ST,10
497417,402,Brentford FC,Vitaly Janelt,ST,11
497417,354,Crystal Palace FC,Sam Johnstone,GK,1
497417,354,Crystal Palace FC,Joel Ward,CB,2
